按设备,按天,持续时间（分钟）,设备运行,完成次数,加工节拍（秒/次）,最小节拍（秒/次）,中位数节拍（秒/次）,小时产量（次）,计划停机（分钟）,连接中断（分钟）,无原因停机（分钟）,"换型损失
（分钟）","组织损失
（分钟）","设备损失
（分钟）",额定节拍,额定产出,开动率,能力率,设备OEE,产能利用率,不良总数,试验检测
凸焊-01,2023-12-22,1440,319.73,814,23.57,0,20,152.75,995.63,0,0,0,0,124.63,20,1333.1,71.95%,84.85%,61.05%,22.2%,2,2
凸焊-01,2023-12-23,1440,444.27,1156,23.06,10,20,156.12,995.73,0,0,0,0,0,20,1332.8,100.0%,86.73%,86.73%,30.85%,1,1
凸焊-01,2023-12-24,1440,0,0,0,0,0,0,1440,0,0,0,0,0,20,0,0.0%,0.0%,0.0%,0.0%,0,0
凸焊-01,2023-12-25,1440,423.22,1093,23.23,12.5,20,154.96,1004.92,0,0,0,0,11.87,20,1305.25,97.27%,86.1%,83.75%,29.39%,1,1
凸焊-01,2023-12-26,374,267.71,671,23.94,1,18.5,150.38,87.45,0,0,0,0,19.4,20,861,93.24%,83.54%,77.89%,71.47%,1,1
